Booking Time,Competitors Rates ($),Room Price ($),Local Events/Attractions,Length of Stay (nights),Room Availability,Room Type
01-04-2024 12:00,"130, 135, 125, 145",154,Concert,3,5,Pro
12-04-2024 12:00,"110, 115, 105, 120",90,0,3,12,Standard
12-04-2024 08:00,"120, 125, 115, 130",102,Business convention,3,9,Standard
02-04-2024 12:45,"115, 120, 110, 130",105,0,3,16,Standard
02-04-2024 08:00,"115, 120, 110, 130",93,0,3,15,Standard
08-04-2024 12:00,"120, 125, 115, 130",119,Food festival,3,12,Pro
23-04-2024 09:00,"110, 115, 105, 120",108,Marathon,3,12,Pro
04-04-2024 09:30,"110, 115, 105, 120",84,0,2,19,Standard
03-04-2024 14:00,"125, 130, 120, 140",126,Marathon,4,4,Pro
04-04-2024 08:00,"130, 135, 125, 145",120,0,3,12,Standard
04-04-2024 09:30,"130, 135, 125, 145",124,0,4,10,Standard
06-04-2024 08:00,"110, 115, 105, 120",142,Food festival,2,2,Pro
12-04-2024 12:00,"115, 120, 110, 130",161,0,1,16,Standard
16-04-2024 08:00,"125, 130, 120, 140",150,Conference,2,3,Pro
26-04-2024 12:00,"125, 130, 120, 140",140,Marathon,3,4,Pro
16-04-2024 08:00,"120, 125, 115, 130",90,0,2,14,Standard
28-04-2024 10:00,"120, 125, 115, 135",155,0,2,10,Pro
14-04-2024 08:00,"120, 125, 115, 130",124,0,2,16,Standard
21-04-2024 09:00,"120, 125, 115, 130",147,0,2,7,Pro
25-04-2024 11:00,"115, 120, 110, 130",89,0,3,14,Standard
25-04-2024 09:00,"130, 135, 125, 145",172,0,2,2,Pro
14-04-2024 12:00,"125, 130, 120, 140",103,Conference,3,5,Pro
07-04-2024 11:00,"125, 130, 120, 140",147,Concert,1,4,Pro
22-04-2024 08:00,"130, 135, 120, 125",144,0,3,4,Standard
01-04-2024 12:00,"130, 135, 125, 145",180,Marathon,2,4,Pro
13-04-2024 09:00,"130, 135, 125, 145",147,Food festival,3,14,Pro
17-04-2024 10:00,"115, 120, 110, 130",111,0,3,16,Standard
18-04-2024 10:00,"130, 135, 125, 145",108,0,3,2,Standard
01-04-2024 12:00,"125, 130, 120, 140",143,Marathon,2,2,Pro
04-04-2024 08:00,"115, 120, 110, 130",103,0,2,12,Standard
01-04-2024 15:00,"120, 125, 115, 135",140,0,4,6,Pro
17-04-2024 12:00,"130, 135, 125, 145",131,Conference,2,3,Pro
14-04-2024 08:00,"125, 130, 120, 140",126,0,2,16,Standard
01-04-2024 15:00,"120, 125, 115, 130",102,0,4,10,Standard
25-04-2024 11:00,"120, 125, 115, 130",121,0,3,12,Standard
30-04-2024 08:00,"130, 135, 120, 125",134,0,3,12,Pro
20-04-2024 12:00,"120, 125, 115, 130",144,Marathon,2,5,Pro
14-04-2024 08:00,"120, 125, 115, 130",92,0,3,19,Standard
02-04-2024 08:00,"110, 115, 105, 120",109,0,4,13,Standard
02-04-2024 08:00,"125, 130, 120, 140",143,0,3,15,Standard
26-04-2024 08:00,"110, 115, 105, 120",90,0,3,15,Standard
23-04-2024 11:00,"120, 125, 115, 135",154,Food festival,3,15,Standard
08-04-2024 10:00,"120, 125, 115, 130",86,0,1,14,Standard
27-04-2024 09:00,"125, 130, 120, 140",154,Business convention,3,4,Standard
29-04-2024 12:00,"125, 130, 120, 140",122,Food festival,4,3,Pro
06-04-2024 12:00,"125, 130, 120, 140",168,Concert,3,3,Pro
16-04-2024 10:00,"125, 130, 120, 140",153,0,1,2,Pro
26-04-2024 08:00,"130, 135, 125, 145",159,Conference,4,7,Pro
01-04-2024 15:00,"115, 120, 110, 130",114,0,4,13,Standard
29-04-2024 12:00,"120, 125, 115, 130",152,0,3,18,Standard
20-04-2024 10:00,"110, 115, 105, 120",102,0,3,13,Standard
12-04-2024 12:00,"110, 115, 105, 120",109,0,2,15,Standard
09-04-2024 11:30,"130, 135, 125, 145",163,0,4,5,Pro
04-04-2024 08:00,"130, 135, 125, 145",141,0,4,5,Pro
01-04-2024 09:00,"125, 130, 120, 140",147,Conference,3,5,Pro
30-04-2024 08:00,"115, 120, 110, 130",80,0,2,12,Standard
07-04-2024 11:00,"125, 130, 120, 140",112,Concert,3,2,Pro
10-04-2024 12:00,"130, 135, 125, 145",157,Marathon,3,2,Pro
28-04-2024 08:00,"115, 120, 110, 130",110,0,1,14,Standard
17-04-2024 10:00,"130, 135, 125, 145",140,0,3,3,Pro
20-04-2024 08:00,"120, 125, 115, 130",93,0,2,13,Standard
15-04-2024 11:30,"120, 125, 115, 135",158,Conference,4,4,Pro
19-04-2024 09:00,"125, 130, 120, 140",141,Marathon,2,2,Pro
10-04-2024 08:00,"120, 125, 115, 130",120,0,2,13,Pro
23-04-2024 09:00,"110, 115, 105, 120",100,0,1,17,Standard
17-04-2024 08:00,"130, 135, 125, 145",117,0,2,16,Standard
06-04-2024 08:00,"130, 135, 125, 145",116,Concert,2,4,Pro
01-04-2024 09:00,"115, 120, 110, 130",110,0,1,12,Standard
01-04-2024 12:00,"130, 135, 125, 145",158,0,3,16,Standard
03-04-2024 11:30,"120, 125, 115, 130",137,0,3,7,Pro
04-04-2024 11:00,"115, 120, 110, 130",80,0,2,17,Standard
16-04-2024 10:00,"125, 130, 120, 140",164,Marathon,3,5,Pro
10-04-2024 12:00,"110, 115, 105, 120",88,0,4,18,Standard
27-04-2024 13:00,"115, 120, 110, 130",105,0,4,15,Standard
23-04-2024 12:30,"110, 115, 105, 120",95,0,3,13,Standard
20-04-2024 10:00,"115, 120, 110, 130",89,0,2,13,Standard
03-04-2024 14:00,"130, 135, 125, 145",145,0,1,3,Pro
14-04-2024 08:00,"125, 130, 120, 140",154,0,1,2,Pro
04-04-2024 11:00,"125, 130, 120, 140",145,Marathon,2,4,Pro
06-04-2024 12:00,"115, 120, 110, 130",126,0,3,5,Pro
28-04-2024 12:00,"120, 125, 115, 130",102,0,3,19,Standard
30-04-2024 08:00,"110, 115, 105, 120",111,0,3,15,Standard
18-04-2024 08:00,"125, 130, 120, 140",80,Marathon,1,13,Standard
10-04-2024 08:00,"110, 115, 105, 120",95,0,3,15,Standard
20-04-2024 08:00,"115, 120, 110, 130",80,0,1,16,Standard
14-04-2024 10:00,"125, 130, 120, 140",148,0,3,10,Standard
28-04-2024 12:00,"115, 120, 110, 130",108,0,3,9,Standard
24-04-2024 12:00,"120, 125, 115, 130",138,0,2,3,Pro
08-04-2024 08:00,"110, 115, 105, 120",132,0,4,11,Standard
29-04-2024 12:00,"125, 130, 120, 140",150,0,3,5,Pro
30-04-2024 10:00,"130, 135, 125, 145",136,Concert,2,6,Pro
17-04-2024 08:00,"110, 115, 105, 120",97,0,3,6,Standard
21-04-2024 11:30,"120, 125, 115, 130",111,0,3,5,Standard
15-04-2024 11:30,"110, 115, 105, 120",81,0,3,13,Standard
19-04-2024 09:00,"125, 130, 120, 140",171,Conference,2,3,Pro
26-04-2024 12:00,"125, 130, 120, 140",180,0,4,5,Pro
13-04-2024 09:00,"130, 135, 125, 145",155,0,3,3,Standard
16-04-2024 12:00,"115, 120, 110, 130",130,0,1,18,Standard
03-04-2024 09:00,"115, 120, 110, 130",86,0,1,14,Standard
19-04-2024 09:00,"130, 135, 125, 145",159,0,4,8,Pro
15-04-2024 11:30,"110, 115, 105, 120",108,0,3,18,Standard
22-04-2024 10:00,"115, 120, 110, 130",116,0,1,14,Standard
30-04-2024 12:00,"115, 120, 110, 130",108,0,2,20,Standard
06-04-2024 12:00,"120, 125, 115, 130",89,0,3,15,Standard
05-04-2024 10:00,"125, 130, 120, 140",137,0,2,20,Pro
22-04-2024 10:00,"110, 115, 105, 120",84,0,1,18,Standard
18-04-2024 10:00,"110, 115, 105, 120",108,0,3,16,Standard
10-04-2024 08:00,"110, 115, 105, 120",109,0,3,16,Pro
21-04-2024 11:30,"115, 120, 110, 130",99,0,2,17,Standard
27-04-2024 11:30,"115, 120, 110, 130",95,0,3,13,Standard
15-04-2024 11:30,"115, 120, 110, 130",111,0,3,20,Standard
24-04-2024 08:00,"115, 120, 110, 130",119,0,3,16,Standard
18-04-2024 08:00,"110, 115, 105, 120",114,0,2,2,Standard
01-04-2024 12:00,"130, 135, 125, 145",129,0,3,5,Pro
13-04-2024 09:00,"120, 125, 115, 130",104,0,4,3,Standard
19-04-2024 09:00,"115, 120, 110, 130",128,0,3,13,Standard
02-04-2024 12:45,"115, 120, 110, 130",102,0,1,20,Standard
15-04-2024 11:30,"125, 130, 120, 140",155,Food festival,3,3,Pro
24-04-2024 08:00,"125, 130, 120, 140",112,0,3,14,Standard
08-04-2024 12:00,"115, 120, 110, 130",82,0,1,17,Standard
11-04-2024 12:00,"110, 115, 105, 120",84,0,3,15,Standard
01-04-2024 12:00,"110, 115, 105, 120",139,0,4,2,Pro
08-04-2024 08:00,"125, 130, 120, 140",106,Concert,1,4,Pro
14-04-2024 10:00,"130, 135, 125, 145",123,0,3,2,Pro
01-04-2024 12:00,"110, 115, 105, 120",84,0,3,19,Standard
02-04-2024 12:45,"120, 125, 115, 130",99,0,2,16,Standard
18-04-2024 10:00,"115, 120, 110, 130",107,0,1,15,Standard
02-04-2024 08:00,"120, 125, 115, 130",93,0,3,16,Standard
09-04-2024 09:00,"110, 115, 105, 120",117,0,3,15,Standard
30-04-2024 10:00,"110, 115, 105, 120",83,0,1,18,Standard
11-04-2024 08:00,"115, 120, 110, 130",115,0,3,13,Standard
05-04-2024 12:00,"120, 125, 115, 130",160,0,4,6,Pro
03-04-2024 11:30,"115, 120, 110, 130",80,0,1,12,Standard
23-04-2024 09:00,"120, 125, 115, 135",108,0,3,10,Standard
29-04-2024 12:00,"110, 115, 105, 120",101,0,3,14,Standard
09-04-2024 09:00,"120, 125, 115, 130",107,0,2,11,Pro
29-04-2024 12:00,"125, 130, 120, 140",156,Food festival,4,2,Pro
10-04-2024 10:00,"125, 130, 120, 140",154,0,2,8,Pro
05-04-2024 12:00,"125, 130, 120, 140",146,Food festival,3,14,Pro
21-04-2024 11:30,"120, 125, 115, 130",136,0,3,5,Pro
04-04-2024 11:00,"115, 120, 110, 130",109,0,3,15,Standard
27-04-2024 13:00,"130, 135, 120, 125",177,0,3,5,Standard
16-04-2024 10:00,"110, 115, 105, 120",104,0,3,14,Standard
12-04-2024 12:00,"120, 125, 115, 130",123,0,3,14,Standard
15-04-2024 11:30,"130, 135, 125, 145",178,Concert,3,18,Standard
10-04-2024 12:00,"115, 120, 110, 130",86,0,2,11,Standard
30-04-2024 08:00,"130, 135, 120, 125",138,Conference,2,7,Standard
08-04-2024 12:00,"130, 135, 120, 125",134,0,4,16,Standard
17-04-2024 08:00,"125, 130, 120, 140",114,Concert,3,2,Pro
06-04-2024 08:00,"115, 120, 110, 130",99,0,3,15,Standard
16-04-2024 10:00,"125, 130, 120, 140",141,Business convention,4,4,Pro
07-04-2024 11:00,"115, 120, 110, 130",108,0,1,10,Pro
08-04-2024 12:00,"110, 115, 105, 120",90,0,2,8,Standard
30-04-2024 12:00,"125, 130, 120, 140",156,Concert,2,6,Pro
16-04-2024 08:00,"115, 120, 110, 130",80,0,1,19,Standard
29-04-2024 12:00,"125, 130, 120, 140",135,0,3,2,Pro
18-04-2024 12:00,"110, 115, 105, 120",133,0,3,12,Standard
23-04-2024 09:00,"125, 130, 120, 140",144,Concert,3,14,Standard
20-04-2024 12:00,"120, 125, 115, 130",106,0,2,18,Standard
19-04-2024 11:00,"110, 115, 105, 120",149,0,3,11,Standard
09-04-2024 09:00,"110, 115, 105, 120",106,0,3,13,Standard
22-04-2024 12:00,"120, 125, 115, 130",164,Food festival,3,4,Standard
12-04-2024 12:00,"120, 125, 115, 130",110,0,1,12,Standard
30-04-2024 10:00,"125, 130, 120, 140",155,0,4,2,Pro
18-04-2024 10:00,"125, 130, 120, 140",110,Marathon,3,4,Standard
06-04-2024 08:00,"120, 125, 115, 130",156,Food festival,3,5,Standard
09-04-2024 13:00,"115, 120, 110, 130",97,0,3,15,Standard
12-04-2024 08:00,"115, 120, 110, 130",118,0,3,17,Standard
30-04-2024 10:00,"120, 125, 115, 130",120,Food festival,1,2,Pro
18-04-2024 12:00,"110, 115, 105, 120",128,0,4,18,Standard
22-04-2024 12:00,"130, 135, 125, 145",145,Concert,2,6,Pro
02-04-2024 12:45,"120, 125, 115, 130",122,0,3,17,Pro
19-04-2024 09:00,"125, 130, 120, 140",153,Concert,4,6,Pro
20-04-2024 10:00,"130, 135, 125, 145",128,0,4,12,Pro
29-04-2024 12:00,"120, 125, 115, 130",167,0,3,2,Pro
29-04-2024 12:00,"125, 130, 120, 140",119,Marathon,2,5,Pro
10-04-2024 08:00,"120, 125, 115, 130",88,0,3,19,Standard
18-04-2024 10:00,"125, 130, 120, 140",122,Marathon,4,4,Pro
02-04-2024 08:00,"110, 115, 105, 120",112,0,3,14,Standard
02-04-2024 08:00,"120, 125, 115, 130",108,0,3,13,Standard
23-04-2024 12:30,"130, 135, 125, 145",141,Concert,3,9,Pro
28-04-2024 12:00,"125, 130, 120, 140",154,0,3,19,Standard
16-04-2024 08:00,"130, 135, 125, 145",167,Concert,2,3,Pro
11-04-2024 12:00,"125, 130, 120, 140",138,Conference,3,8,Pro
01-04-2024 15:00,"110, 115, 105, 120",84,0,3,13,Standard
07-04-2024 11:00,"125, 130, 120, 140",97,Marathon,2,2,Pro
22-04-2024 10:00,"115, 120, 110, 130",146,0,2,5,Pro
10-04-2024 12:00,"115, 120, 110, 130",137,0,4,3,Pro
24-04-2024 08:00,"130, 135, 120, 125",146,0,3,16,Standard
11-04-2024 10:00,"130, 135, 125, 145",127,Concert,4,5,Pro
19-04-2024 09:00,"125, 130, 120, 140",156,Marathon,2,2,Pro
15-04-2024 11:30,"130, 135, 125, 145",166,0,1,13,Standard
20-04-2024 10:00,"115, 120, 110, 130",80,0,3,17,Standard
20-04-2024 12:00,"120, 125, 115, 130",118,0,4,6,Standard
22-04-2024 10:00,"125, 130, 120, 140",99,Marathon,3,14,Standard
29-04-2024 08:00,"125, 130, 120, 140",122,0,3,12,Standard
30-04-2024 12:00,"110, 115, 105, 120",98,0,2,17,Standard
02-04-2024 10:30,"120, 125, 115, 130",169,Concert,2,4,Pro
15-04-2024 09:00,"115, 120, 110, 130",94,0,2,18,Standard
10-04-2024 10:00,"125, 130, 120, 140",135,Concert,3,10,Standard
20-04-2024 10:00,"120, 125, 115, 130",98,0,3,18,Standard
21-04-2024 09:00,"115, 120, 110, 130",145,0,4,3,Pro
20-04-2024 08:00,"125, 130, 120, 140",83,0,3,11,Standard
06-04-2024 12:00,"110, 115, 105, 120",109,0,3,14,Standard
11-04-2024 12:00,"130, 135, 125, 145",160,Concert,3,2,Pro
20-04-2024 10:00,"130, 135, 120, 125",116,0,3,14,Standard
14-04-2024 12:00,"130, 135, 125, 145",116,0,2,2,Pro
22-04-2024 10:00,"115, 120, 110, 130",101,0,3,14,Standard
11-04-2024 12:00,"125, 130, 120, 140",152,Marathon,4,2,Pro
03-04-2024 11:30,"120, 125, 115, 130",144,0,4,5,Pro
20-04-2024 10:00,"115, 120, 110, 130",103,0,3,14,Standard
03-04-2024 09:00,"130, 135, 125, 145",158,0,2,3,Pro
29-04-2024 12:00,"125, 130, 120, 140",154,Concert,4,2,Standard
05-04-2024 10:00,"110, 115, 105, 120",102,0,3,15,Standard
12-04-2024 08:00,"115, 120, 110, 130",87,0,3,19,Standard
10-04-2024 08:00,"115, 120, 110, 130",104,0,3,15,Standard
12-04-2024 10:00,"120, 125, 115, 130",153,Concert,3,4,Pro
05-04-2024 12:00,"115, 120, 110, 130",92,0,3,13,Standard
19-04-2024 11:00,"125, 130, 120, 140",108,Marathon,2,2,Pro
29-04-2024 12:00,"130, 135, 125, 145",162,Marathon,4,2,Pro
27-04-2024 11:30,"130, 135, 125, 145",155,0,1,11,Pro
12-04-2024 12:00,"115, 120, 110, 130",80,0,3,6,Standard
22-04-2024 10:00,"115, 120, 110, 130",83,0,1,15,Standard
13-04-2024 09:00,"110, 115, 105, 120",97,0,4,2,Pro
08-04-2024 10:00,"115, 120, 110, 130",148,0,1,12,Standard
23-04-2024 09:00,"130, 135, 125, 145",119,0,3,17,Standard
02-04-2024 10:30,"110, 115, 105, 120",109,0,4,18,Standard
26-04-2024 12:00,"125, 130, 120, 140",122,Concert,4,4,Pro
15-04-2024 13:00,"130, 135, 125, 145",180,Concert,3,2,Pro
04-04-2024 09:30,"125, 130, 120, 140",81,0,2,14,Standard
22-04-2024 12:00,"115, 120, 110, 130",165,Food festival,3,3,Pro
14-04-2024 10:00,"110, 115, 105, 120",110,0,3,14,Standard
02-04-2024 10:30,"120, 125, 115, 130",131,0,2,6,Pro
16-04-2024 10:00,"125, 130, 120, 140",140,0,4,12,Pro
07-04-2024 09:00,"130, 135, 125, 145",179,0,3,13,Pro
01-04-2024 12:00,"130, 135, 125, 145",132,Marathon,2,3,Pro
28-04-2024 08:00,"120, 125, 115, 130",97,0,3,15,Standard
10-04-2024 12:00,"110, 115, 105, 120",102,0,1,18,Standard
26-04-2024 12:00,"125, 130, 120, 140",164,Concert,3,2,Pro
03-04-2024 09:00,"120, 125, 115, 130",123,0,3,15,Standard
23-04-2024 12:30,"125, 130, 120, 140",165,Marathon,3,4,Pro
09-04-2024 13:00,"115, 120, 110, 130",108,0,3,15,Standard
04-04-2024 09:30,"120, 125, 115, 130",130,Conference,1,16,Standard
30-04-2024 08:00,"125, 130, 120, 140",139,0,3,2,Pro
28-04-2024 08:00,"115, 120, 110, 130",115,0,3,17,Standard
04-04-2024 08:00,"120, 125, 115, 130",92,0,3,16,Standard
06-04-2024 10:00,"130, 135, 125, 145",103,0,3,17,Pro
05-04-2024 08:00,"115, 120, 110, 130",80,0,3,15,Standard
19-04-2024 11:00,"115, 120, 110, 130",117,0,3,14,Standard
18-04-2024 12:00,"130, 135, 125, 145",147,Conference,3,2,Pro
02-04-2024 12:45,"120, 125, 115, 130",165,0,2,13,Standard
30-04-2024 08:00,"120, 125, 115, 130",120,0,1,10,Pro
11-04-2024 12:00,"115, 120, 110, 130",153,0,4,17,Standard
11-04-2024 12:00,"125, 130, 120, 140",176,Marathon,3,2,Pro
09-04-2024 09:00,"115, 120, 110, 130",102,0,2,15,Standard
04-04-2024 11:00,"125, 130, 120, 140",128,Marathon,2,7,Pro
29-04-2024 10:00,"110, 115, 105, 120",94,0,1,15,Pro
14-04-2024 08:00,"125, 130, 120, 140",109,0,3,14,Pro
09-04-2024 11:30,"125, 130, 120, 140",159,Marathon,4,2,Pro
01-04-2024 09:00,"120, 125, 115, 130",155,0,3,15,Standard
25-04-2024 11:00,"110, 115, 105, 120",107,0,3,14,Standard
12-04-2024 12:00,"115, 120, 110, 130",85,0,2,16,Standard
29-04-2024 12:00,"125, 130, 120, 140",155,0,4,15,Pro
05-04-2024 12:00,"120, 125, 115, 130",86,0,3,19,Standard
13-04-2024 11:00,"130, 135, 125, 145",114,0,3,16,Standard
02-04-2024 08:00,"130, 135, 125, 145",173,0,2,14,Pro
06-04-2024 08:00,"120, 125, 115, 130",102,0,4,16,Standard
26-04-2024 12:00,"130, 135, 125, 145",152,Marathon,3,4,Pro
12-04-2024 08:00,"120, 125, 115, 135",140,Business convention,2,9,Pro
04-04-2024 08:00,"130, 135, 125, 145",151,0,3,2,Pro
18-04-2024 10:00,"130, 135, 125, 145",146,Concert,4,3,Pro
14-04-2024 10:00,"120, 125, 115, 130",127,0,3,15,Standard
17-04-2024 12:00,"120, 125, 115, 130",147,Concert,2,3,Pro
04-04-2024 11:00,"115, 120, 110, 130",99,0,1,14,Standard
22-04-2024 12:00,"115, 120, 110, 130",101,0,3,11,Standard
21-04-2024 13:00,"130, 135, 120, 125",134,Concert,1,14,Pro
11-04-2024 10:00,"130, 135, 120, 125",151,0,3,7,Pro
06-04-2024 08:00,"115, 120, 110, 130",137,0,4,16,Standard
12-04-2024 08:00,"130, 135, 125, 145",160,Conference,2,3,Pro
30-04-2024 12:00,"120, 125, 115, 135",158,Conference,4,10,Pro
11-04-2024 12:00,"120, 125, 115, 130",156,0,2,6,Standard
17-04-2024 12:00,"120, 125, 115, 135",166,Concert,3,4,Pro
23-04-2024 11:00,"115, 120, 110, 130",148,0,3,12,Standard
27-04-2024 11:30,"120, 125, 115, 130",165,0,3,14,Standard
20-04-2024 12:00,"115, 120, 110, 130",101,0,4,16,Standard
10-04-2024 08:00,"110, 115, 105, 120",103,0,4,7,Standard
03-04-2024 11:30,"130, 135, 125, 145",109,0,3,16,Standard
26-04-2024 12:00,"125, 130, 120, 140",158,Marathon,3,2,Pro
10-04-2024 10:00,"125, 130, 120, 140",104,Conference,3,3,Pro
07-04-2024 11:00,"130, 135, 125, 145",148,0,3,7,Pro
30-04-2024 08:00,"115, 120, 110, 130",160,0,4,4,Pro
14-04-2024 12:00,"130, 135, 125, 145",156,Concert,3,4,Pro
19-04-2024 11:00,"130, 135, 125, 145",130,0,3,16,Standard
13-04-2024 09:00,"130, 135, 125, 145",148,0,3,12,Standard
29-04-2024 10:00,"125, 130, 120, 140",170,Conference,4,2,Pro
26-04-2024 10:00,"125, 130, 120, 140",147,0,3,14,Pro
14-04-2024 12:00,"115, 120, 110, 130",80,0,1,17,Standard
01-04-2024 15:00,"120, 125, 115, 130",148,0,2,11,Standard
14-04-2024 08:00,"130, 135, 120, 125",99,0,3,14,Standard
25-04-2024 11:00,"115, 120, 110, 130",86,0,1,18,Standard
29-04-2024 12:00,"125, 130, 120, 140",144,Conference,3,2,Standard
11-04-2024 12:00,"120, 125, 115, 130",180,Food festival,4,3,Pro
20-04-2024 10:00,"125, 130, 120, 140",149,0,4,2,Pro
14-04-2024 08:00,"110, 115, 105, 120",101,0,3,12,Standard
26-04-2024 12:00,"130, 135, 120, 125",143,0,3,11,Standard
14-04-2024 12:00,"125, 130, 120, 140",154,Marathon,2,6,Pro
30-04-2024 08:00,"110, 115, 105, 120",91,0,3,11,Standard
24-04-2024 12:00,"125, 130, 120, 140",132,Marathon,2,4,Pro
26-04-2024 10:00,"125, 130, 120, 140",167,Marathon,3,2,Pro
20-04-2024 12:00,"130, 135, 125, 145",153,Concert,4,3,Pro
11-04-2024 08:00,"120, 125, 115, 130",173,Food festival,2,8,Standard
12-04-2024 10:00,"125, 130, 120, 140",167,Marathon,3,3,Pro
02-04-2024 08:00,"130, 135, 125, 145",152,0,3,2,Pro
28-04-2024 08:00,"130, 135, 125, 145",137,0,3,14,Standard
17-04-2024 10:00,"125, 130, 120, 140",111,Conference,1,13,Pro
20-04-2024 10:00,"120, 125, 115, 130",95,0,2,14,Standard
09-04-2024 09:00,"125, 130, 120, 140",155,Marathon,4,4,Pro
11-04-2024 12:00,"125, 130, 120, 140",166,Marathon,4,4,Pro
12-04-2024 10:00,"115, 120, 110, 130",161,0,4,4,Standard
21-04-2024 09:00,"130, 135, 125, 145",154,Concert,3,6,Pro
16-04-2024 12:00,"110, 115, 105, 120",80,0,1,15,Standard
09-04-2024 09:00,"115, 120, 110, 130",92,0,3,19,Standard
28-04-2024 08:00,"115, 120, 110, 130",156,0,3,2,Pro
11-04-2024 10:00,"125, 130, 120, 140",155,Concert,3,2,Pro
02-04-2024 12:45,"120, 125, 115, 130",156,0,3,12,Standard
02-04-2024 10:30,"125, 130, 120, 140",171,Concert,2,6,Pro
24-04-2024 10:00,"110, 115, 105, 120",80,0,3,12,Pro
18-04-2024 12:00,"125, 130, 120, 140",130,Marathon,2,2,Pro
07-04-2024 09:00,"130, 135, 125, 145",122,Business convention,4,4,Pro
09-04-2024 09:00,"120, 125, 115, 130",102,0,1,15,Standard
03-04-2024 14:00,"130, 135, 125, 145",143,0,2,2,Standard
22-04-2024 10:00,"130, 135, 125, 145",180,Concert,3,2,Pro
15-04-2024 09:00,"110, 115, 105, 120",105,0,1,16,Standard
27-04-2024 09:00,"130, 135, 125, 145",166,0,3,2,Pro
20-04-2024 12:00,"125, 130, 120, 140",119,0,4,15,Standard
29-04-2024 12:00,"125, 130, 120, 140",141,0,3,5,Pro
30-04-2024 08:00,"120, 125, 115, 130",167,0,3,4,Pro
24-04-2024 12:00,"120, 125, 115, 130",112,0,3,15,Standard
06-04-2024 10:00,"125, 130, 120, 140",157,Concert,2,5,Pro
03-04-2024 09:00,"125, 130, 120, 140",148,Concert,3,2,Pro
02-04-2024 10:30,"110, 115, 105, 120",110,Concert,2,10,Standard
16-04-2024 12:00,"130, 135, 125, 145",158,Marathon,3,3,Pro
06-04-2024 12:00,"115, 120, 110, 130",106,0,3,12,Standard
07-04-2024 11:00,"130, 135, 125, 145",131,0,3,18,Standard
18-04-2024 12:00,"115, 120, 110, 130",151,0,3,10,Standard
15-04-2024 09:00,"115, 120, 110, 130",105,0,3,14,Pro
18-04-2024 08:00,"125, 130, 120, 140",127,Business convention,4,8,Pro
04-04-2024 08:00,"130, 135, 125, 145",90,0,1,15,Standard
09-04-2024 13:00,"125, 130, 120, 140",178,Concert,3,15,Pro
02-04-2024 12:45,"110, 115, 105, 120",127,0,4,16,Standard
04-04-2024 08:00,"120, 125, 115, 130",152,0,4,2,Pro
01-04-2024 09:00,"130, 135, 125, 145",112,0,3,12,Standard
09-04-2024 13:00,"115, 120, 110, 130",104,0,3,15,Standard
09-04-2024 09:00,"125, 130, 120, 140",130,Marathon,2,5,Pro
14-04-2024 10:00,"115, 120, 110, 130",80,0,3,16,Standard
15-04-2024 13:00,"115, 120, 110, 130",121,0,1,15,Standard
04-04-2024 09:30,"110, 115, 105, 120",107,0,3,13,Standard
19-04-2024 09:00,"125, 130, 120, 140",173,Conference,3,2,Pro
21-04-2024 13:00,"125, 130, 120, 140",107,0,3,11,Standard
01-04-2024 12:00,"125, 130, 120, 140",174,Concert,3,4,Pro
27-04-2024 09:00,"120, 125, 115, 135",87,0,3,12,Standard
10-04-2024 12:00,"125, 130, 120, 140",111,0,3,14,Pro
02-04-2024 08:00,"120, 125, 115, 130",107,0,3,18,Standard
19-04-2024 09:00,"115, 120, 110, 130",90,0,1,12,Standard
18-04-2024 12:00,"130, 135, 120, 125",149,Food festival,3,7,Pro
09-04-2024 13:00,"125, 130, 120, 140",180,0,3,14,Pro
14-04-2024 12:00,"120, 125, 115, 130",124,0,3,7,Pro
05-04-2024 12:00,"120, 125, 115, 130",80,0,3,13,Standard
16-04-2024 10:00,"110, 115, 105, 120",160,0,2,2,Pro
01-04-2024 12:00,"130, 135, 125, 145",147,0,1,7,Pro
02-04-2024 10:30,"120, 125, 115, 130",116,0,3,10,Standard
26-04-2024 10:00,"110, 115, 105, 120",128,0,3,9,Standard
21-04-2024 09:00,"120, 125, 115, 130",113,0,3,12,Standard
11-04-2024 12:00,"125, 130, 120, 140",148,Concert,3,3,Pro
18-04-2024 08:00,"130, 135, 125, 145",132,0,4,2,Pro
18-04-2024 08:00,"120, 125, 115, 130",112,0,3,14,Standard
16-04-2024 12:00,"120, 125, 115, 130",102,0,3,20,Standard
05-04-2024 08:00,"125, 130, 120, 140",132,0,3,6,Standard
15-04-2024 13:00,"130, 135, 125, 145",161,Marathon,2,2,Pro
15-04-2024 13:00,"125, 130, 120, 140",154,Concert,3,4,Pro
01-04-2024 12:00,"110, 115, 105, 120",126,0,1,12,Standard
10-04-2024 12:00,"125, 130, 120, 140",163,0,3,3,Pro
25-04-2024 11:00,"130, 135, 125, 145",120,Conference,2,6,Pro
22-04-2024 12:00,"130, 135, 120, 125",172,Concert,3,4,Pro
11-04-2024 12:00,"115, 120, 110, 130",95,0,3,12,Standard
01-04-2024 09:00,"115, 120, 110, 130",110,0,1,14,Standard
14-04-2024 12:00,"130, 135, 125, 145",162,0,2,2,Pro
15-04-2024 13:00,"110, 115, 105, 120",93,0,4,18,Standard
22-04-2024 08:00,"115, 120, 110, 130",97,0,1,14,Standard
